B2.SP,B8.SP,B10.SP,IPAC,WATER
2.9,105.09016705209109,89.93358620887966,0.9656436050407924,0.9665334270539296
2.9,104.01693477834827,88.59866988727856,0.965543368568725,0.9665368075131848
2.9,102.72905604985694,87.35274798711752,0.9655282605978214,0.9665395741903609
2.9,101.87047023086271,87.70872567287779,0.9656236785804682,0.9665413875727462
2.9,103.80228832359974,90.46755273752012,0.9656199732038512,0.9665422117358808
2.9,104.44622768784542,90.28956389463995,0.9654696157712902,0.9665420580241436
2.9,103.15834895935406,89.93358620887966,0.9653350525379318,0.9665407210766612
2.9,102.51440959510838,87.88671451575796,0.9655909425159972,0.9665383432718307
2.9,102.51440959510838,89.132636415919,0.9660243415163496,0.9665355410613576
2.9,104.44622768784542,90.82353042328043,0.9660631098124606,0.966532872673423
2.9,103.15834895935406,89.132636415919,0.9656400310115092,0.966530149966577
2.9,106.37804578058243,87.61973125143774,0.9652657994282404,0.9665264991894452
2.9,103.80228832359974,90.64554158040023,0.9651835418298572,0.9665212372550877
2.9,104.23158123309686,87.97570893719805,0.9651924530614141,0.9665143823676235
2.9,103.58764186885118,91.09051368760063,0.9656300734649732,0.9665068158243768
2.9,103.80228832359974,91.35749695192085,0.9659050997342099,0.9664998563447768
2.9,103.80228832359974,90.46755273752012,0.9659724107203326,0.9664945253836388
2.9,102.9437025046055,87.88671451575796,0.9660302579877804,0.9664910078033198
2.9,103.80228832359974,90.46755273752012,0.9661226525391008,0.9664891219439536
2.9,104.66087414259395,88.95464757303888,0.965862569036578,0.9664885067756478
2.9,102.51440959510838,90.20056947319988,0.9655747048412566,0.9664885310525272
2.9,103.80228832359974,88.59866988727856,0.9653256206860876,0.9664885416168816
2.9,102.9437025046055,89.7555973659995,0.9653162012898016,0.9664882712206936
2.9,104.87552059734251,89.7555973659995,0.9653521889433184,0.9664878394218952
2.9,104.23158123309686,91.535485794801,0.9654208077403508,0.9664876158668396
2.9,104.87552059734251,88.4206810443984,0.9654219800475764,0.9664879867391694
2.9,105.09016705209109,89.04364199447893,0.9655412162215996,0.966489091129447
2.9,103.37299541410265,90.28956389463995,0.965475509048785,0.9664908389174248
2.9,104.87552059734251,90.1115750517598,0.9651847307775636,0.9664929189813808
2.9,105.09016705209109,90.82353042328043,0.9648857272738648,0.9664947872140168
2.9,103.37299541410265,91.71347463768112,0.9646228399664954,0.9664959850539384
2.9,103.58764186885118,88.33168662295833,0.9644962214199172,0.9664962582560872
2.9,104.66087414259395,89.22163083735907,0.9647333485983984,0.966495801281748
2.9,106.37804578058243,89.22163083735907,0.9648398288738586,0.9664950075125164
2.9,104.44622768784542,88.95464757303888,0.9647607286894746,0.966494136925886
2.9,107.45127805432524,90.64554158040023,0.9647453151113092,0.9664932798581696
2.9,103.80228832359974,89.132636415919,0.9647827786391988,0.9664927774428044
2.9,104.87552059734251,90.37855831608006,0.9650976950991782,0.9664932157859836
2.9,102.9437025046055,90.1115750517598,0.9653950622364076,0.9664954943353284
2.9,103.58764186885118,89.66660294455944,0.9654922183564972,0.9665001524438916
2.9,103.37299541410265,88.15369778007818,0.9653540320920264,0.9665067976680206
2.9,104.01693477834827,88.4206810443984,0.9649876259982928,0.9665141986055268
2.9,103.37299541410265,89.31062525879915,0.9644194910662448,0.9665207159424024
2.9,106.592692235331,91.26850253048076,0.9638233747261992,0.9665252268872302
2.9,103.80228832359974,90.73453600184031,0.9633464599348772,0.9665270678277073
2.9,106.592692235331,91.535485794801,0.9633821796739857,0.9665260831690212
2.9,105.30481350683964,91.09051368760063,0.963650531247289,0.966523038097125
2.9,105.09016705209109,90.46755273752012,0.9639993912060808,0.9665189250697226
2.9,104.44622768784542,90.82353042328043,0.964218674211932,0.9665146624994804
2.9,104.44622768784542,89.31062525879915,0.9641582858779032,0.966510682936376
2.9,106.37804578058243,89.84459178743955,0.9640297130330936,0.9665069352651002
2.9,103.37299541410265,89.66660294455944,0.9640462262788084,0.9665033138059672
2.9,106.80733869007958,90.46755273752012,0.9643442363594088,0.9665002555401704
2.9,103.58764186885118,90.46755273752012,0.964792,0.9664990047481132
2.9,105.94875287108532,90.1115750517598,0.9652560350459212,0.966501135019614
2.9,104.66087414259395,89.22163083735907,0.9656183324738048,0.9665077775049412
2.9,102.9437025046055,89.39961968023924,0.965783841509259,0.9665190279397043
2.9,105.73410641633677,89.84459178743955,0.9656466531099068,0.9665337724471672
2.9,104.66087414259395,90.55654715896016,0.965184400566896,0.9665501421892556
2.9,105.73410641633677,89.84459178743955,0.9645290169260696,0.9665658722919944
2.9,105.73410641633677,89.66660294455944,0.9640190374583956,0.9665791946793733
